isbn,name,writer,company,pyear,KDC,img
8809276106421,몬스터 패밀리,"횔거 타프 (감독), 에밀리 왓슨, 제이슨 아이작스, 닉 프로스트, 셀리아 임리, 제시카 브라운 핀들리, 정찬우, 캐서린 테이트, 김태균 (목소리)",아이브엔터테인먼트,2018,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809276106919,헌터킬러,"도노반 마시 (감독), 제라드 버틀러, 게리 올드만, 커먼, 미카엘 뉘크비스트 (출연)",아이브엔터테인먼트,2019,688,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809276108364,명탐정 코난: 순흑의 악몽,"시즈노 코분 감독, 강수진 외 목소리",버즈픽쳐스,2018,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809276108395,명탐정 코난 : 에피소드 원 [한국어 더빙판],야마모토 야스이치로 (감독),버즈픽쳐스,2018,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809306450159,토르:천둥의 신,케네스 브래너 감독,NA,2011,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809306450432,퍼스트어벤져 (1disc),조 존스톤 감독,NA,2011,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809306450654,세얼간이 - 인도판,"라지쿠마르 히라니 감독, 마드하반 외 출연",CJ 엔터테인먼트,2011,688,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809306452825,밀림의 왕자 레오 2 : 극장판 - 한국어 더빙 수록,"다케우치 요시오 감독, 이시무라 토모코 외 목소리",아트서비스,2013,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809306453075,아무르,"미카엘 하네케 감독, 장 루이 트랭티냥 외 출연",아트서비스,2013,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809306455277,그렇게 아버지가 된다 - 아웃케이스 없음,"고레에다 히로카즈 감독, 오노 마치코 외 출연",아트서비스,2014,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
