rank,isbn,name,gender,age
7,9788954655699,연필로 쓰기 :김훈 산문,female,60
8,9788965745617,풀꽃도 꽃이다 :조정래 장편소설,female,60
9,9788965744023,정글만리 :조정래 장편소설,female,60
9,9788973378050,(趙廷來 大河小說) 아리랑,female,60
11,9788970873268,반일 종족주의 :대한민국 위기의 근원,female,60
12,9788973378326,한강:趙廷來 大河小說,female,60
13,9788973378319,한강:趙廷來 大河小說,female,60
14,9788965745624,풀꽃도 꽃이다 :조정래 장편소설,female,60
15,9788936477134,나의 문화유산답사기,female,60
15,9791135433245,인생의 마지막 순간에서 :죽음과 죽어감에 관한 실질적 조언,female,60
17,9788973378067,(趙廷來 大河小說) 아리랑,female,60
17,9791185716435,백년을 살아보니 :인생의 황금기는 60~75세,female,60
19,9788973378098,(趙廷來 大河小說) 아리랑,female,60
20,9788936477127,나의 문화유산답사기,female,60
